快速碼,商品代號,商品名稱,款式號碼,商品條碼,國際條碼,主供應商名稱,大分類代號,大分類名稱,年度,季節,成本幣別代號,未稅標準成本,含稅標準成本,銷貨幣別代號,未稅標準定價,含稅標準定價
1,A001FF,A001｜F｜試穿間購物提袋,A001,,,鞋材/贈品進貨廠商(大陸),O,其他,,,NTD,4.02,4.22,NTD,0,0
2,A002FF,A002｜F｜試穿間試穿襪,A002,,,鞋材/贈品進貨廠商(大陸),O,其他,,,NTD,9.52,10,NTD,0,0
3,A003FF,A003｜F｜試穿間瓶裝水,A003,,,鞋材/贈品進貨廠商(大陸),O,其他,,,NTD,151.43,159,NTD,0,0
100,ART100FF,Art-100｜F 34x32cm｜皮革拋光擦拭布,Art-100,59396,,川閎,A,鞋材襪款,,,NTD,52.38,55,NTD,105,110
120,ART120FM,Art-120｜F M(38-40)｜德國製GO FRESH!拋棄式衛生鞋墊,Art-120,64328,,川閎,A,鞋材襪款,,,NTD,114.29,120,NTD,229,240
120,ART120FS,Art-120｜F S(35-37)｜德國製GO FRESH!拋棄式衛生鞋墊,Art-120,64329,,川閎,A,鞋材襪款,,,NTD,114.29,120,NTD,229,240
12136,ART121F36,Art-121｜F 36｜蹠骨減壓舒適墊Pedag,Art-121,63958,,川閎,A,鞋材襪款,,,NTD,180.95,190,NTD,362,380
12137,ART121F37,Art-121｜F 37｜蹠骨減壓舒適墊Pedag,Art-121,63959,,川閎,A,鞋材襪款,,,NTD,180.95,190,NTD,362,380
12138,ART121F38,Art-121｜F 38｜蹠骨減壓舒適墊Pedag,Art-121,63960,,川閎,A,鞋材襪款,,,NTD,180.95,190,NTD,362,380
12139,ART121F39,Art-121｜F 39｜蹠骨減壓舒適墊Pedag,Art-121,63961,,川閎,A,鞋材襪款,,,NTD,180.95,190,NTD,362,380
129,ART129FF,Art-129｜F｜足跟舒適平衡墊Pedag,Art-129,59397,,川閎,A,鞋材襪款,,,NTD,142.86,150,NTD,286,300
131,ART131FF,Art-131｜F (一對)｜腳後跟止磨貼Pedag,Art-131,59604,,川閎,A,鞋材襪款,,,NTD,57.14,60,NTD,114,120
137,ART137FF,Art-137｜F (2雙)｜腳後跟帶止滑貼Pedag,Art-137,59456,,川閎,A,鞋材襪款,,,NTD,57.14,60,NTD,114,120
14236,ART142F36,Art-142｜F 36｜蹠骨減壓吸震鞋墊Pedag,Art-142,59458,,川閎,A,鞋材襪款,,,NTD,228.57,240,NTD,457,480
14237,ART142F37,Art-142｜F 37｜蹠骨減壓吸震鞋墊Pedag,Art-142,59459,,川閎,A,鞋材襪款,,,NTD,228.57,240,NTD,457,480
14238,ART142F38,Art-142｜F 38｜蹠骨減壓吸震鞋墊Pedag,Art-142,59460,,川閎,A,鞋材襪款,,,NTD,228.57,240,NTD,457,480
14239,ART142F39,Art-142｜F 39｜蹠骨減壓吸震鞋墊Pedag,Art-142,59457,,川閎,A,鞋材襪款,,,NTD,228.57,240,NTD,457,480
15435,ART154F35,Art-154｜F 35｜足部活性碳鞋墊Pedag,Art-154,59566,,川閎,A,鞋材襪款,,,NTD,238.1,250,NTD,476,500
15436,ART154F36,Art-154｜F 36｜足部活性碳鞋墊Pedag,Art-154,59567,,川閎,A,鞋材襪款,,,NTD,238.1,250,NTD,476,500
15437,ART154F37,Art-154｜F 37｜足部活性碳鞋墊Pedag,Art-154,59568,,川閎,A,鞋材襪款,,,NTD,238.1,250,NTD,476,500
15438,ART154F38,Art-154｜F 38｜足部活性碳鞋墊Pedag,Art-154,59569,,川閎,A,鞋材襪款,,,NTD,238.1,250,NTD,476,500
15439,ART154F39,Art-154｜F 39｜足部活性碳鞋墊Pedag,Art-154,59563,,川閎,A,鞋材襪款,,,NTD,238.1,250,NTD,476,500
15440,ART154F40,Art-154｜F 40｜足部活性碳鞋墊Pedag,Art-154,59564,,川閎,A,鞋材襪款,,,NTD,238.1,250,NTD,476,500
15441,ART154F41,Art-154｜F 41｜足部活性碳鞋墊Pedag,Art-154,59565,,川閎,A,鞋材襪款,,,NTD,238.1,250,NTD,476,500
15442,ART154F42,Art-154｜F 42｜足部活性碳鞋墊Pedag,Art-154,59562,,川閎,A,鞋材襪款,,,NTD,238.1,250,NTD,476,500
166,ART166FM,Art-166｜F M(38-40)｜真皮足弓舒適墊Pedag,Art-166,59352,,川閎,A,鞋材襪款,,,NTD,157.14,165,NTD,400,420
166,ART166FS,Art-166｜F S(35-37)｜真皮足弓舒適墊Pedag,Art-166,59355,,川閎,A,鞋材襪款,,,NTD,157.14,165,NTD,400,420
182,ART182FM,Art-182｜F M(38-40)｜德國Pedag防滑吸震凝膠鞋墊,Art-182,77320,,川閎,A,鞋材襪款,,,NTD,180.95,190,NTD,362,380
